	num_segments	speech_seconds	num_words	video_seconds
count	2553.00	2553.00	2553.00	2553.00
mean	75.08	288.56	873.42	657.43
std	54.48	189.10	561.26	312.15
min	1.00	0.00	1.00	48.00
25%	43.00	176.00	519.00	531.00
50%	70.00	279.00	852.00	621.00
75%	97.00	374.00	1156.00	730.00
max	825.00	2424.00	6537.00	5982.00
