IOU Thresholds,video_id,frame,TP,FN,FP,UnmatchedFP,LocA,HOTA,AssA,AssRe,AssPr,DetA,DetRe,DetPr,OWTA,IDF1
0.1000,,,20398,18859,72820,8432,0.6135,0.2147,0.2532,0.8381,0.2763,0.1820,0.5196,0.2188,0.3627,0.3080
0.2000,,,20398,18859,72820,8432,0.6135,0.2147,0.2532,0.8381,0.2763,0.1820,0.5196,0.2188,0.3627,0.3080
0.3000,,,20369,18888,72849,8432,0.6140,0.2143,0.2527,0.8367,0.2759,0.1817,0.5189,0.2185,0.3621,0.3075
0.4000,,,19233,20024,73985,8432,0.6285,0.1999,0.2352,0.7908,0.2606,0.1698,0.4899,0.2063,0.3395,0.2904
0.5000,,,15143,24114,78075,8432,0.6756,0.1505,0.1755,0.6217,0.2050,0.1291,0.3857,0.1624,0.2602,0.2286
0.6000,,,10327,28930,82891,8432,0.7344,0.0976,0.1127,0.4233,0.1395,0.0845,0.2631,0.1108,0.1722,0.1559
0.7000,,,5907,33350,87311,8432,0.7990,0.0532,0.0606,0.2389,0.0795,0.0467,0.1505,0.0634,0.0955,0.0892
0.8000,,,2610,36647,90608,8432,0.8658,0.0230,0.0264,0.1067,0.0359,0.0201,0.0665,0.0280,0.0419,0.0394
0.9000,,,624,38633,92594,8432,0.9319,0.0054,0.0062,0.0253,0.0089,0.0047,0.0159,0.0067,0.0100,0.0094
