№,Фраза
1,Вы сами виноваты
2,Вы должны
3,Вы неправильно поняли
4,Я не буду принимать жалобу
5,Жалуйтесь куда хотите
6,Не так уж вы долго ждали
7,"Я не буду вас консультировать, узнавайте на 900"
8,Сами в Сболе сделаете
9,Я вам позвоню
10,Мне за это не платят
11,Вы неадекватный
12,"Не нравится, идите в другой банк"
13,Это не мой функционал
14,Я это делать не должен
15,Не нравится – не пользуйтесь
16,Я не должен вам это объяснять
17,Поставьте мне пятерку за обслуживание
18,Не хотите и не надо
19,Пожалеете об этом
20,Потом поздно будет
21,Вы не понимаете от чего отказывайтесь
22,Я сейчас занят
23,Такого предложения больше не будет
24,Как можно быть таким невнимательным
25,Я уже несколько раз ответил
26,Я знаю как вам лучше
27,Я и так потратил на вас много времени
28,"Назовите код, я сам введу"
