" Monthly averaged odata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1991,  1,        0, 1991.0411,   -78.12,  -104.81,     -60.81,   -87.50,     -78.12,  -104.81
1991,  2,        0, 1991.1260,   -99.99,     0.00,     -54.72,   -87.74,     -54.72,   -87.74
1991,  3,        0, 1991.2027,   -56.90,   -85.57,     -59.31,   -87.98,     -56.90,   -85.57
1991,  4,        0, 1991.2877,   -58.71,   -77.89,     -69.12,   -88.29,     -58.71,   -77.89
1991,  5,        0, 1991.3699,   -78.92,   -85.95,     -81.64,   -88.67,     -78.92,   -85.95
1991,  6,        0, 1991.4548,   -92.32,   -87.01,     -94.46,   -89.16,     -92.32,   -87.01
1991,  7,        0, 1991.5370,  -102.26,   -87.02,    -104.95,   -89.71,    -102.26,   -87.02
1991,  8,        0, 1991.6219,  -120.57,   -93.34,    -117.60,   -90.37,    -120.57,   -93.34
1991,  9,        0, 1991.7068,  -134.73,  -100.12,    -125.72,   -91.11,    -134.73,  -100.12
1991, 10,        0, 1991.7890,   -99.99,     0.00,    -119.84,   -91.91,    -119.84,   -91.91
1991, 11,        0, 1991.8740,  -115.85,  -104.93,    -103.74,   -92.83,    -115.85,  -104.93
1991, 12,        0, 1991.9562,   -83.30,   -92.02,     -85.11,   -93.84,     -83.30,   -92.02
1992,  1,        0, 1992.0410,   -56.84,   -83.51,     -68.39,   -95.06,     -56.84,   -83.51
1992,  2,        0, 1992.1257,   -44.96,   -77.98,     -63.47,   -96.49,     -44.96,   -77.98
1992,  3,        0, 1992.2049,   -62.68,   -91.15,     -69.55,   -98.02,     -62.68,   -91.15
1992,  4,        0, 1992.2896,   -83.59,  -102.51,     -80.89,   -99.81,     -83.59,  -102.51
1992,  5,        0, 1992.3716,   -97.31,  -104.07,     -94.84,  -101.60,     -97.31,  -104.07
1992,  6,        0, 1992.4563,  -112.90,  -107.40,    -108.94,  -103.45,    -112.90,  -107.40
1992,  7,        0, 1992.5383,  -124.32,  -108.91,    -120.56,  -105.15,    -124.32,  -108.91
1992,  8,        0, 1992.6230,  -139.08,  -111.71,    -134.15,  -106.79,    -139.08,  -111.71
1992,  9,        0, 1992.7077,  -150.94,  -116.32,    -142.86,  -108.24,    -150.94,  -116.32
1992, 10,        0, 1992.7896,  -157.59,  -129.75,    -137.31,  -109.46,    -157.59,  -129.75
1992, 11,        0, 1992.8743,  -129.85,  -119.01,    -121.37,  -110.53,    -129.85,  -119.01
1992, 12,        0, 1992.9563,  -111.54,  -120.29,    -102.65,  -111.41,    -111.54,  -120.29
1993,  1,        0, 1993.0411,   -76.69,  -103.37,     -85.54,  -112.22,     -76.69,  -103.37
1993,  2,        0, 1993.1260,   -69.99,  -103.01,     -79.99,  -113.01,     -69.99,  -103.01
