name
BARSeq
Clearing
Delipidation
Embedding
Expansion
Fixation
Fixation and permeabilization
Gelation
Hybridication and amplification
Hybridization Chain Reaction
Immunolabeling
Mounting
Other
Refractive index matching
Sectioning
Soak
Storage
Stripping
Tamoxifen induction
