	num_segments	speech_seconds	num_words	video_seconds
count	4333.00	4333.00	4333.00	4333.00
mean	11.34	19.90	69.78	641.04
std	11.62	50.15	111.70	289.14
min	1.00	0.00	1.00	20.00
25%	3.00	0.00	10.00	507.00
50%	8.00	4.00	29.00	614.00
75%	16.00	15.00	85.00	735.00
max	150.00	707.00	2446.00	5245.00
